image,men,women,animals,glasses,other,scenery,incongruity,Sentence 1,Sentence 2,Sentence 3,implied
125056.png,0,0,lions (2),0,bones stethoscope shoe doctor lamp little hammer car,savannah,A lion just ate a doctor,One lion is talking to another lion in the savannah,The lion is lying in front of bones shoes a stethoscope and other doctor supplies.,There is a car in the distance,The lion ate a doctor
125073.png,1,1,horses (6),0,buggies horse drawn carriages floodlights caravan,desert,Big floodlights in the wild west,A caravan of horse drawn buggies is driving through the desert,Giant floodlights are lighting up the sky,The buggies are driving towards bright lights like at a movie premier,
125090.png,2,0,0,0,heaven angels wings bat wings cloud,heaven,One of the angels has bat wings,Two angels are talking in heaven,One of the angels has black bat wings,The other angel has normal angel wings,
125136.png,3,0,0,3,taxi chandelier club portraits stairs hallway,club,A taxi is coming up the stairs,Three men are sitting in armchairs in a fancy club,There is a taxi coming up the stairs,The men are holding drinks and looking at the taxi,
125154.png,2,0,0,1,sex doll brief case hallway suit,office,A man in a suit is carrying a sex doll at work,Two men in business suits are in a hallway,One of the man is holding a blow-up sex doll under his arm like a briefcase,The other man is looking at the sex doll with a surprised look,
125173.png,2,0,fish (21),1,fish therapist couch office fisherman,therapist,A fisherman at the therapist sees fish floating in the air,A fisherman is lying on a couch talking to a therapist,There are many fish floating in the air,The man is wearing fishing clothes and looking up at the fish,
125202.png,1,0,monster (1),1,apartment window wine glass monster city phone,city,The man doesn't see the monster out his window,A man is looking out the window of an apartment,There is a giant monster outside the window,The man is talking on the phone and drinking some wine,he doesn't see the monster
125222.png,2,0,0,0,desk phone office stick figure,office,A stick figure is applying for a job,A stick figure and a man are sitting at opposite sides of a desk,The man is holding some papers and talking to the stick figure,The stick figure smiles,stick figure is applying for a job
125246.png,7,2,killer whale (1),9,courtroom judge lawyer whale,courtroom,A killer whale is on trial,A judge a bunch of people and a killer whale are sitting in a courtroom,The killer whale is on trial,The killer whale's lawyer is yelling and waving some papers,
125273.png,5,2,0,1,God devil Buddha Krishna gods police man lineup,lineup,Gods in a police lineup,A police man is showing a woman a police lineup,All of the people in the lineup are gods,God the devil Buddha Krishna and another god are in the police lineup,
125297.png,1,1,0,1 ,parachute robe helmet door ,doorway,a man in a parachute is at the door,A woman in a robe opens the door for a man in a parachute,A man has just parachuted down to a house,a man with a released parachute helmet and sun glasses is stepping into a house,
125321.png,1,1,0,2,couple clock lamp couch window broken gun vase,room,a woman is yelling at a man holding a gun to his head ,A man is holding a gun to his head in a room full of broken things and shattered windows,A woman with stern posture is yelling at the man ,everything is the room is borken or has bullet holes,he kept missing his head
125344.png,2,0,0,1,desk chair door pencils pencil sharpener,office,there are giant pencils and a giant pencil sharpener on the desk,A giant cup of pencils and a giant pencil sharper are on opposite sies of a desk ,one man sits oppsite the deskone man sits behind the desk ,the men are in business suits,
125366.png,0,0,0,0,car world globe road,road,A giant globe blocks the road,A car is trying to drive up a road but a giant Earth is in the way, A giant globe of Earth sits in the middle of the road,a car is in front of a large globe of earth,
125390.png,5,6,0,0,judge gavel court police officers can-can cancers,courtroom,can-can dancers in a courtroom ,There are can-can dancers in front of a judge,One lawyer is upset by the can-can dancers while another lawyer seems upset,can-can dancers lift their legs in unison in a court room ,trial
125415.png,3,1,0,3,desk fire marshmellows chairs ,office,people are roasting marshmellows over a burning desk ,The corner of a desk is burning,People are roasting marshmellows over the buring desk,three men and one woman hold sticks with marshmellows over an office desk,bonfire
125458.png,2,2,3,0,Oz chairs ,office,the wizard of oz characters are in group therapy,The tin man the scarecrow the lion dorothy a man and woman and a doctor sit in a circle,one of the men seems to be in charge of the group, the man and woman look at each other with confused expressions,therapy
125478.png,1,1,0,0,bar stools drinks,bar,a man is wearing high heel,a man and woman are talking and the man is wearing high heels and a business suit,the man and woman are holding drinks,the man and woman are in a bar,date
125499.png,2,2,0 ,0,planets couch chair lamp,room,people are watching a wall filled with planets,one wall seems to be the solar system,couches and a chair face the nigh sky ,,living room
125535.png,7,0,0,0,sand beach water bucket,beach,six  men are buried up to their necks in sand,one man looks over six other men buried in sand, six men are buried up to their necks one man is buried up to his feet ,,
125556.png,9,0,0,0,cups tea coffee desk chair meeting,meeting room,the cups of coffee on the desk are giant ,nine people sit in a business meeting with very large cups,the cups seem to be filled with hot drinks like coffee and tea ,,meeting
125609.png,5,3,0,0,devil hell house real estate,real estate,a house for sale has hell and the devil inside it,a real estate agent shows a couple a house with a firey hell inside,there are flames and the devil whipping tortured people inside the house,there is a for sale sign outside on the lawn ,real estate
125621.png,1,0,1,0,lobster suit city,office,a lobster is sitting in an office chair,a man interviews a lobster for a job,a man looks at a piece of paper while sitting across from a giant lobster,,
125652.PNG, ,,,,,,,,,,
125658.png, ,,,,,,,,,,
125684.png, ,,,,,,,,,,
125723.png, ,,,,,,,,,,
125736.png, ,,,,,,,,,,
125774.PNG, ,,,,,,,,,,
126214.PNG, ,,,,,,,,,,
126228.PNG, ,,,,,,,,,,
126240.PNG, ,,,,,,,,,,
126288.PNG, ,,,,,,,,,,
126309.PNG, ,,,,,,,,,,
126337.PNG, ,,,,,,,,,,
126353.PNG, ,,,,,,,,,,
126359.PNG, ,,,,,,,,,,
126397.PNG, ,,,,,,,,,,
128189.PNG, ,,,,,,,,,,
128207.PNG, ,,,,,,,,,,
128227.PNG, ,,,,,,,,,,
128250.PNG, ,,,,,,,,,,
128271.PNG, ,,,,,,,,,,
128297.PNG, ,,,,,,,,,,
128324.PNG, ,,,,,,,,,,
128352.PNG, ,,,,,,,,,,
128391.PNG, ,,,,,,,,,,
128412.PNG, ,,,,,,,,,,
128441.PNG, ,,,,,,,,,,
128496.PNG, ,,,,,,,,,,
129389.PNG, ,,,,,,,,,,
129452.PNG, ,,,,,,,,,,
129500.PNG, ,,,,,,,,,,
129526.PNG, ,,,,,,,,,,
129562.PNG, ,,,,,,,,,,
129590.PNG, ,,,,,,,,,,
130798.PNG, ,,,,,,,,,,
130851.PNG, ,,,,,,,,,,
130903.PNG, ,,,,,,,,,,
130978.PNG, ,,,,,,,,,,
131017.PNG, ,,,,,,,,,,
131045.PNG, ,,,,,,,,,,
131083.PNG, ,,,,,,,,,,
131106.PNG, ,,,,,,,,,,
131124.PNG, ,,,,,,,,,,
131165.PNG, ,,,,,,,,,,
131195.PNG, ,,,,,,,,,,
131235.PNG, ,,,,,,,,,,
131268.png, ,,,,,,,,,,
131320.PNG, ,,,,,,,,,,
131355.PNG, ,,,,,,,,,,
131568.png, ,,,,,,,,,,
131569.png, ,,,,,,,,,,
131570.png, ,,,,,,,,,,
131593.png, ,,,,,,,,,,
131599.png, ,,,,,,,,,,
131614.png, ,,,,,,,,,,
131631.png, ,,,,,,,,,,
132009.png, ,,,,,,,,,,
132041.png, ,,,,,,,,,,
132062.png, ,,,,,,,,,,
132081.png, ,,,,,,,,,,
132099.png, ,,,,,,,,,,
132134.png, ,,,,,,,,,,
132267.png, ,,,,,,,,,,
132283.png, ,,,,,,,,,,
132395.png, ,,,,,,,,,,
132400.png, ,,,,,,,,,,
132561.png, ,,,,,,,,,,
132578.png, ,,,,,,,,,,
132600.png, ,,,,,,,,,,
132615.png, ,,,,,,,,,,
132641.PNG, ,,,,,,,,,,
132661.PNG, ,,,,,,,,,,
132690.PNG, ,,,,,,,,,,
132893.png, ,,,,,,,,,,
132918.png, ,,,,,,,,,,
132942.png, ,,,,,,,,,,
132981.png, ,,,,,,,,,,
133002.PNG, ,,,,,,,,,,
133023.png, ,,,,,,,,,,
133038.png, ,,,,,,,,,,
133125.png, ,,,,,,,,,,
133147.png, ,,,,,,,,,,
133181.png, ,,,,,,,,,,
133292.png, ,,,,,,,,,,
133313.png, ,,,,,,,,,,
133333.png, ,,,,,,,,,,
133354.png, ,,,,,,,,,,
133404.pct, ,,,,,,,,,,
133462.png, ,,,,,,,,,,
133484.png, ,,,,,,,,,,
133504.png, ,,,,,,,,,,
133532.png, ,,,,,,,,,,
133650.png, ,,,,,,,,,,
133676.png, ,,,,,,,,,,
133707.png, ,,,,,,,,,,
133745.png, ,,,,,,,,,,
133832.png, ,,,,,,,,,,
133876.png, ,,,,,,,,,,
133900.png, ,,,,,,,,,,
133922.png, ,,,,,,,,,,
133958.png, ,,,,,,,,,,
133974.png, ,,,,,,,,,,
133994.png, ,,,,,,,,,,
134021.png, ,,,,,,,,,,
134125.png, ,,,,,,,,,,
134209.png, ,,,,,,,,,,
134267.png, ,,,,,,,,,,
134295.png, ,,,,,,,,,,
134322.png, ,,,,,,,,,,
134348.png, ,,,,,,,,,,
134374.png, ,,,,,,,,,,
134405.png, ,,,,,,,,,,
134427.png, ,,,,,,,,,,
134453.png, ,,,,,,,,,,
134477.png, ,,,,,,,,,,
134496.png, ,,,,,,,,,,
134508.png, ,,,,,,,,,,
134527.png, ,,,,,,,,,,
134551.png, ,,,,,,,,,,
134573.png, ,,,,,,,,,,
134639.png, ,,,,,,,,,,
134656.png, ,,,,,,,,,,
134677.png, ,,,,,,,,,,
134694.png, ,,,,,,,,,,
134710.png, ,,,,,,,,,,
134728.png, ,,,,,,,,,,
134746.png, ,,,,,,,,,,
134769.png, ,,,,,,,,,,
134791.png, ,,,,,,,,,,
134811.png, ,,,,,,,,,,
134829.png, ,,,,,,,,,,
134848.png, ,,,,,,,,,,
134865.png, ,,,,,,,,,,
134881.png, ,,,,,,,,,,
134899.png, ,,,,,,,,,,
134917.png, ,,,,,,,,,,
134937.png, ,,,,,,,,,,
134959.png, ,,,,,,,,,,
134977.png, ,,,,,,,,,,
134998.png, ,,,,,,,,,,
135016.pct, ,,,,,,,,,,
135037.png, ,,,,,,,,,,
135056.png, ,,,,,,,,,,
135108.png, ,,,,,,,,,,
135125.png, ,,,,,,,,,,
135160.png, ,,,,,,,,,,
135181.png, ,,,,,,,,,,
135203.png, ,,,,,,,,,,
135218.png, ,,,,,,,,,,
135245.png, ,,,,,,,,,,
135267.png, ,,,,,,,,,,
135315.png, ,,,,,,,,,,
135334.png, ,,,,,,,,,,
135336.png, ,,,,,,,,,,
135358.png, ,,,,,,,,,,
135372.png, ,,,,,,,,,,
135395.png, ,,,,,,,,,,
135822.png, ,,,,,,,,,,
135852.png, ,,,,,,,,,,
135869.png, ,,,,,,,,,,
135889.png, ,,,,,,,,,,
135906.png, ,,,,,,,,,,
135925.png, ,,,,,,,,,,
135939.png, ,,,,,,,,,,
135960.png, ,,,,,,,,,,
135977.png, ,,,,,,,,,,
136006.png, ,,,,,,,,,,
136063.png, ,,,,,,,,,,
136079.png, ,,,,,,,,,,
136706.png, ,,,,,,,,,,
136737.png, ,,,,,,,,,,
136754.png, ,,,,,,,,,,
136790.png, ,,,,,,,,,,
136859.png, ,,,,,,,,,,
136870.png, ,,,,,,,,,,
136889.png, ,,,,,,,,,,
136907.png, ,,,,,,,,,,
136937.png, ,,,,,,,,,,
136960.png, ,,,,,,,,,,
136988.png, ,,,,,,,,,,
137030.png, ,,,,,,,,,,
137155.png, ,,,,,,,,,,
137288.png, ,,,,,,,,,,
137344.png, ,,,,,,,,,,
137701.png, ,,,,,,,,,,
137726.png, ,,,,,,,,,,
137750.PNG, ,,,,,,,,,,
137754.png, ,,,,,,,,,,
137775.PNG, ,,,,,,,,,,
137778.png, ,,,,,,,,,,
137800.PNG, ,,,,,,,,,,
137818.png, ,,,,,,,,,,
137820.png, ,,,,,,,,,,
137840.png, ,,,,,,,,,,
137865.pct, ,,,,,,,,,,
137895.png, ,,,,,,,,,,
137924.png, ,,,,,,,,,,
137962.png, ,,,,,,,,,,
137982.png, ,,,,,,,,,,
138025.png, ,,,,,,,,,,
138047.png, ,,,,,,,,,,
138083.png, ,,,,,,,,,,
138119.png, ,,,,,,,,,,
138140.png, ,,,,,,,,,,
138160.PNG, ,,,,,,,,,,
138185.pct, ,,,,,,,,,,
138209.PNG, ,,,,,,,,,,
138238.PNG, ,,,,,,,,,,
138266.PNG, ,,,,,,,,,,
138288.PNG, ,,,,,,,,,,
138310.PNG, ,,,,,,,,,,
138331.PNG, ,,,,,,,,,,
138357.PNG, ,,,,,,,,,,
138386.PNG, ,,,,,,,,,,
138431.pct, ,,,,,,,,,,
138455.pct, ,,,,,,,,,,
138492.PNG, ,,,,,,,,,,
138498.pct, ,,,,,,,,,,
138533.PNG, ,,,,,,,,,,
138558.PNG, ,,,,,,,,,,
138587.PNG, ,,,,,,,,,,
138614.PNG, ,,,,,,,,,,
138637.PNG, ,,,,,,,,,,
138663.PNG, ,,,,,,,,,,
139127.PNG, ,,,,,,,,,,
139158.PNG, ,,,,,,,,,,
139194.PNG, ,,,,,,,,,,
139215.PNG, ,,,,,,,,,,
139247.PNG, ,,,,,,,,,,
139273.png, ,,,,,,,,,,
139299.PNG, ,,,,,,,,,,
139477.PNG, ,,,,,,,,,,
139522.PNG, ,,,,,,,,,,
139549.PNG, ,,,,,,,,,,
139570.PNG, ,,,,,,,,,,
139595.PNG, ,,,,,,,,,,
139619.PNG, ,,,,,,,,,,
139647.PNG, ,,,,,,,,,,
139677.PNG, ,,,,,,,,,,
139707.PNG, ,,,,,,,,,,
139729.PNG, ,,,,,,,,,,
139763.PNG, ,,,,,,,,,,
139787.PNG, ,,,,,,,,,,
139816.pct, ,,,,,,,,,,
139838.PNG, ,,,,,,,,,,
139867.PNG, ,,,,,,,,,,
139889.PNG, ,,,,,,,,,,
139925.PNG, ,,,,,,,,,,
139948.PNG, ,,,,,,,,,,
139969.PNG, ,,,,,,,,,,
139971.pct, ,,,,,,,,,,
139991.PNG, ,,,,,,,,,,
140009.PNG, ,,,,,,,,,,
140032.PNG, ,,,,,,,,,,
140047.PNG, ,,,,,,,,,,
140065.PNG, ,,,,,,,,,,
140120.PNG, ,,,,,,,,,,
140133.PNG, ,,,,,,,,,,
140164.PNG, ,,,,,,,,,,
140192.PNG, ,,,,,,,,,,
140326.PNG, ,,,,,,,,,,
140353.PNG, ,,,,,,,,,,
140374.PNG, ,,,,,,,,,,
140402.PNG, ,,,,,,,,,,
140431.PNG, ,,,,,,,,,,
140451.PNG, ,,,,,,,,,,
140716.PNG, ,,,,,,,,,,
140733.PNG, ,,,,,,,,,,
140750.PNG, ,,,,,,,,,,
140767.PNG, ,,,,,,,,,,
140781.PNG, ,,,,,,,,,,
140800.pct, ,,,,,,,,,,
140824.PNG, ,,,,,,,,,,
140856.PNG, ,,,,,,,,,,
140880.jpg, ,,,,,,,,,,
140898.PNG, ,,,,,,,,,,
140937.pct, ,,,,,,,,,,
140951.pct, ,,,,,,,,,,
140966.pct, ,,,,,,,,,,
140984.PNG, ,,,,,,,,,,
141005.PNG, ,,,,,,,,,,
141024.PNG, ,,,,,,,,,,
141039.PNG, ,,,,,,,,,,
141056.PNG, ,,,,,,,,,,
141085.PNG, ,,,,,,,,,,
141110.PNG, ,,,,,,,,,,
141131.PNG, ,,,,,,,,,,
141147.PNG, ,,,,,,,,,,
141164.pct, ,,,,,,,,,,
141184.PNG, ,,,,,,,,,,
141207.pct, ,,,,,,,,,,
141234.pct, ,,,,,,,,,,
141254.PNG, ,,,,,,,,,,
141268.PNG, ,,,,,,,,,,
141280.PNG, ,,,,,,,,,,
141304.pct, ,,,,,,,,,,
141322.PNG, ,,,,,,,,,,
141338.PNG, ,,,,,,,,,,
141356.pct, ,,,,,,,,,,
141420.PNG, ,,,,,,,,,,
141459.PNG, ,,,,,,,,,,
141478.PNG, ,,,,,,,,,,
141500.PNG, ,,,,,,,,,,
141529.pct, ,,,,,,,,,,
141558.PNG, ,,,,,,,,,,
141584.PNG, ,,,,,,,,,,
141599.PNG, ,,,,,,,,,,
141625.PNG, ,,,,,,,,,,
141649.PNG, ,,,,,,,,,,
141672.PNG, ,,,,,,,,,,
141696.PNG, ,,,,,,,,,,
141719.PNG, ,,,,,,,,,,
141747.PNG, ,,,,,,,,,,
141769.PNG, ,,,,,,,,,,
141806.PNG, ,,,,,,,,,,
141824.PNG, ,,,,,,,,,,
141850.PNG, ,,,,,,,,,,
141875.PNG, ,,,,,,,,,,
141916.pct, ,,,,,,,,,,
141944.PNG, ,,,,,,,,,,
141962.pct, ,,,,,,,,,,
141994.PNG, ,,,,,,,,,,
142017.PNG, ,,,,,,,,,,
142068.PNG, ,,,,,,,,,,
142096.pct, ,,,,,,,,,,
142135.PNG, ,,,,,,,,,,
142153.PNG, ,,,,,,,,,,
142167.PNG, ,,,,,,,,,,
142182.PNG, ,,,,,,,,,,
142207.PNG, ,,,,,,,,,,
142225.PNG, ,,,,,,,,,,
142247.PNG, ,,,,,,,,,,
142272.PNG, ,,,,,,,,,,
142274.pct, ,,,,,,,,,,
142297.PNG, ,,,,,,,,,,
142317.PNG, ,,,,,,,,,,
142338.PNG, ,,,,,,,,,,
142373.PNG, ,,,,,,,,,,
142413.PNG, ,,,,,,,,,,
142443.PNG, ,,,,,,,,,,
142460.PNG, ,,,,,,,,,,
142487.PNG, ,,,,,,,,,,
142515.PNG, ,,,,,,,,,,
142544.PNG, ,,,,,,,,,,
142564.PNG, ,,,,,,,,,,
142592.pct, ,,,,,,,,,,
142613.PNG, ,,,,,,,,,,
142637.PNG, ,,,,,,,,,,
142665.PNG, ,,,,,,,,,,
142698.PNG, ,,,,,,,,,,
142716.PNG, ,,,,,,,,,,
142740.PNG, ,,,,,,,,,,
142921.PNG, ,,,,,,,,,,
142943.pct, ,,,,,,,,,,
142967.PNG, ,,,,,,,,,,
142986.PNG, ,,,,,,,,,,
143015.PNG, ,,,,,,,,,,
143046.PNG, ,,,,,,,,,,
143069.pct, ,,,,,,,,,,
143094.PNG, ,,,,,,,,,,
143108.PNG, ,,,,,,,,,,
143128.PNG, ,,,,,,,,,,
143149.PNG, ,,,,,,,,,,
143183.PNG, ,,,,,,,,,,
